,inf_init,alpha,lambda
4,10,0.95,0.30000000000000004
5,10,0.95,0.3500000000000001
6,10,0.95,0.40000000000000013
7,10,0.95,0.45000000000000007
8,10,0.95,0.5000000000000001
9,10,0.95,0.5500000000000002
10,10,0.95,0.6000000000000002
11,10,0.95,0.6500000000000001
12,10,0.95,0.7000000000000002
13,10,0.95,0.7500000000000002
14,10,0.95,0.8000000000000002
15,10,0.95,0.8500000000000002
0,10,0.95,0.32
2,10,0.95,0.48000000000000004
3,10,0.95,0.56
4,10,0.95,0.6400000000000001
5,10,0.95,0.7200000000000001
