,4,5,6,7,8,9,10,11,12,13,14,15,0,2,3,4,5
0,19.2,22.3,26.1,33.4,36.2,37.5,42.1,42.6,47.7,50.3,56.1,59.2,18.4,43.6,37.1,43.4,51.3
1,13.8,12.9,16.5,15.0,16.3,14.3,14.3,12.4,13.5,10.7,6.9,7.7,15.5,13.6,14.6,15.7,16.2
2,51.4,66.9,86.3,84.8,86.6,97.7,109.7,115.9,133.5,163.8,204.5,202.5,52.0,112.5,95.8,148.9,186.4
3,36.7,35.6,46.0,58.1,64.4,70.6,82.0,79.0,86.2,82.0,60.8,87.8,49.7,47.2,72.0,74.5,132.1
4,85.9,120.2,230.5,190.4,241.4,262.7,390.0,378.3,494.0,608.7,717.0,888.8,108.4,308.5,207.1,485.5,802.7
5,163.8,163.0,190.8,256.0,252.6,427.8,347.6,413.9,412.0,486.6,475.1,449.7,123.9,203.9,330.2,517.9,762.2
6,232.4,319.2,690.6,649.1,759.2,792.7,1247.1,1442.6,1619.3,2065.5,2598.4,2978.2,335.9,992.3,774.8,1644.6,2742.6
7,449.5,535.9,877.0,790.8,880.9,1198.1,1289.6,1371.2,1959.2,2048.3,2095.0,2550.6,486.0,853.6,923.8,1975.7,2570.1
8,929.5,910.3,1479.5,1380.7,2147.1,2855.5,4040.4,4624.3,4836.2,6879.3,9461.8,10709.9,872.0,2411.1,2562.1,5575.4,9009.8
9,714.2,1169.3,2179.5,2700.9,3011.2,3829.2,4293.0,5735.3,8226.2,8328.5,9173.9,11060.0,1162.3,3976.8,3409.7,6191.7,9589.7
10,1965.0,2072.8,4024.7,2936.3,6595.7,8055.0,12207.4,15035.4,16166.3,23954.9,32678.5,38496.1,2118.7,7044.1,7765.5,15600.1,29381.7
11,2781.1,4892.8,5635.1,8979.7,9988.1,11654.4,18057.7,18875.9,28685.6,34235.6,41067.4,48083.3,3127.5,11108.4,11197.0,26134.3,40039.0
12,3153.5,5195.0,10781.7,10368.8,18453.5,24349.4,35264.5,50078.0,53826.4,83530.5,105304.4,143510.2,5890.7,22451.1,22931.1,58482.8,90846.5
13,6993.5,9653.6,20430.9,26035.3,34168.4,42242.9,60038.6,58944.5,98478.3,110124.4,157717.5,166576.9,6460.4,37872.2,42018.4,81337.6,145662.8
14,8378.6,19519.0,27242.6,24477.9,51590.7,70512.4,113203.7,150915.4,177089.6,209525.2,303325.9,402525.3,14193.2,51115.1,65720.7,156447.9,231793.7
